owner,name,issues.total_count,issues.avg_closed_time,total_code_lines,languages,total_commits,bus_factor
FauxFaux,PuTTYTray,141,103,109424,"Inno Setup/Shell/Makefile/Python/C/Batchfile/Perl/M4",Not Available,0,0
openssh,openssh-portable,28,94,112402,"KRL/C/Shell/Perl/Awk/GLSL/Makefile/M4/OpenEdge ABL/Roff/BitBake/C++/GAP",High,0,0
phpmyadmin,phpmyadmin,13605,2108,407677,"Shell/HTML/Python/PHP/JavaScript/CSS",Very High,66179,100
DSB,oTranCe,56,61,-415303,"JavaScript/HTML/PHP/CSS",Low,0,0
xzilla,phppgadmin,5,79,288081,"Shell/HTML/PHP/JavaScript/PLpgSQL/CSS",Not Available,0,0
python,cpython,4481,7,973140,"Shell/C/Visual Basic/Common Lisp/Assembly/DTrace/PLSQL/M4/CSS/Batchfile/HTML/Python/Roff/PowerShell/Makefile/C++/Objective-C",Very High,0,0
ruby,ruby,1632,53,1160825,"Perl 6/Shell/JavaScript/CSS/Batchfile/Makefile/Ragel/Emacs Lisp/C++/Scheme/C/Perl/Assembly/M4/Yacc/GDB/HTML/Python/XSLT/Scilab/Objective-C/Ruby",Very High,44024,11
bakkdoor,fancy,75,89,2974,"Fancy/C/Perl/JavaScript/CSS/Ruby",Inactive,0,0
OpenELEC,OpenELEC.tv,4930,50,29138,"ApacheConf/Shell/Makefile/Python/C/CMake",Moderate,0,0
mpc-hc,mpc-hc,181,32,304285,"Inno Setup/Batchfile/HTML/Python/C/Shell/JavaScript/C++/CSS/Objective-C",Moderate,7098,3
leavittx,rockbox,0,0,3291608,"Shell/Java/Lua/Perl/Assembly/C++/Visual Basic/Python/Vim script/Emacs Lisp/PHP/Ruby/C",High,0,0
TortoiseGit,TortoiseGit,199,43,368268,"Shell/C/Batchfile/JavaScript/Makefile/CSS/Visual Basic/HTML/Python/C++/C#/Objective-C",High,0,0
andk,cpanpm,87,64,22781,"Perl/Perl 6/HTML/Makefile/Prolog",Moderate,0,0
puppetlabs,puppet,6425,14,280581,"Shell/HTML/Pascal/Batchfile/Emacs Lisp/Puppet/Makefile/Ruby",Very High,0,0
arnaudsj,monit,1,8,79995,"Perl/Shell/C/PHP",Not Available,0,0
MailScanner,MailScanner,32,13,46705,"Shell/HTML/Python/Groff/PHP/Perl",Very Low,0,0
mkj,dropbear,44,92,112143,"Perl 6/Shell/M4/Roff/C/TeX/Perl/Assembly/Makefile/HTML/C++",Moderate,0,0
clientside,amplesdk,150,41,76473,"JavaScript/PHP/CSS/XSLT",Inactive,0,0
libarchive,libarchive,788,37,153048,"C/7 Other"
ruby,rake,211,52,9386,"Ruby/2 Other"
premake,premake-core,874,32,236039,"C/Lua/12 Other"
curl,curl,2093,19,260026,"C/XML/HTML/16 Other"
chfoo,wpull,255,42,36054,"Python/JavaScript/7 Other"
pycurl,pycurl,453,32,14147,"Python/C/4 Other"
Razor-qt,razor-qt,664,134,149658,"XML/C++/8 Other"
ExpressoBrowser,ExpressoBrowser,0,0,34078,"C++/C#/C/2 Other"
jiazhang0,grub-efi,0,0,70428,"C/shell script/TeX/LaTeX/6 Other"
chenall,grub4dos,117,22,77520,"C/Assembly/Autoconf/3 Other"
kexecboot,kexecboot,0,0,11452,"C/3 Other"
ubiety,xmpp,22,32,3983,"C#/XML"
jitsi,jitsi,314,73,362816,"Java/12 Other"
0xd34df00d,leechcraft,349,7,680745,"C++/XML/15 Other"
BetterCrypto,Applied-Crypto-Hardening,138,21,253320,"DTX for TeX/LaTeX/TeX/LaTeX/HTML/7 Other"
pyca,pyopenssl,658,85,7878,"Python/3 Other"
wolfSSL,wolfssl,1255,9,357622,"C/XML/12 Other"
cakephp,cakephp,11311,18,187244,"PHP/6 Other"
Arania,madeam,0,0,1990,"PHP/HTML/2 Other"
mariano,syrup,5,95,50086,"PHP/JavaScript/4 Other"
tmux,tmux,1197,5,42126,"C/7 Other"
bozimmerman,CoffeeWebServer,0,0,19574,"Java/2 Other"
restlet,restlet-framework-java,492,156,251473,"Java/HTML/XML/8 Other"
notepad-plus-plus,notepad-plus-plus,2070,59,338552,"C++/XML/HTML/18 Other"
tldr-pages,tldr,1753,17,180,"shell script/TeX/LaTeX/JavaScript/Python"
synfig,synfig,324,16,2208080,"XML/C++/16 Other"
b2evolution,b2evolution,47,57,744220,"PHP/JavaScript/CSS/4 Other"
movabletype,movabletype,59,182,769759,"Perl/JavaScript/PHP/8 Other"
junit-team,junit,1367,186,33352,"Java/HTML/4 Other"
rspec,rspec,24,1,70632,"Ruby/5 Other"
phpspec,phpspec2,53,48,28786,"PHP/8 Other"
christianhujer,aceunit,3,9,32069,"AMPL/C/XML/6 Other"
pernicius,DevilTrac,0,0,19247,"PHP/4 Other"
perl11,cperl,267,44,37921,"Emacs Lisp"
boo-lang,boo,129,81,297167,"C#/Java/Boo/18 Other"
MythTV,mythtv,130,141,2415283,"XML/C++/C/28 Other"
mpv-player,mpv,4869,42,139048,"C/9 Other"
LordZen,groink,0,0,7355,"C/Lua/5 Other"
snortadmin,snort3,31,32,302387,"C++/HTML/10 Other"
nant,nant,104,121,86285,"C#/XML/HTML/7 Other"
sonatype,nexus,864,4,21541,"Java/XML/3 Other"
ccnet,CruiseControl.NET,215,19,558111,"C#/HTML/JavaScript/14 Other"
mirabilos,mksh,0,0,44958,"C/Perl/shell script/2 Other"
maandree,jash,0,0,1497,"Java/shell script"
videolabs,libdsm,96,28,8490,"C/Autoconf/5 Other"
mikma,egssapi,0,0,2530,"C/Erlang/4 Other"
greasemonkey,greasemonkey,1669,145,8030,"JavaScript/XML/2 Other"
hibernate,hibernate-orm,2011,58,713174,"Java/10 Other"
BatooOrg,BatooJPA,201,47,86964,"Java/4 Other"
libarchive,libarchive,788,37,153048,"Shell/C/M4/CMake/Objective-C/Roff/Makefile/C++",Moderate,0,0
ruby,rake,211,52,9386,"Ruby/Shell",Moderate,0,0
premake,premake-core,874,32,236039,"HTML/Makefile/Visual Basic/Objective-C/Tcl/Shell/C/Perl/CMake/Lua/Roff/Batchfile/CSS/Assembly/C++",High,1534,3
curl,curl,2095,19,260026,"DIGITAL Command Language/Emacs Lisp/Python/Perl/Makefile/Visual Basic/Awk/Shell/Perl 6/C/M4/CMake/Roff/C++/Assembly/Batchfile",Very High,21318,3
chfoo,wpull,255,42,36054,"JavaScript/Shell/Python/Makefile/HTML/Haxe/CSS",Very Low,0,0
pycurl,pycurl,453,32,14435,"Shell/C/Python/HTML/Makefile/PHP",Moderate,0,0
Razor-qt,razor-qt,664,134,149658,"QMake/HTML/Perl/Makefile/Shell/C/Python/CMake/Groff/CSS/PHP/C++",Very Low,1926,5
ExpressoBrowser,ExpressoBrowser,0,0,34078,"C++/C/C#",Inactive,0,0
jiazhang0,grub-efi,0,0,70428,"Makefile/Assembly/Shell/C/Python",Inactive,0,0
chenall,grub4dos,117,22,77520,"Makefile/Assembly/Shell/C",Very Low,0,0
kexecboot,kexecboot,0,0,11452,"Makefile/Shell/M4/C/C++",Low,0,0
ubiety,xmpp,22,32,3983,"C#",Not Available,0,0
jitsi,jitsi,314,73,362816,"Shell/Java/C/HTML/Objective-C/Roff/Makefile/CSS/Visual Basic/XSLT/C++",Moderate,0,0
0xd34df00d,leechcraft,349,7,680745,"XSLT/QML/HTML/Python/Shell/Smarty/JavaScript/Objective-C++/C/PLSQL/Objective-C/CMake/Roff/CSS/Haskell/C++",Not Available,0,0
BetterCrypto,Applied-Crypto-Hardening,138,21,253320,"PostScript/Lua/HTML/Makefile/Erlang/Perl/TeX/Shell",Not Available,0,0
pyca,pyopenssl,658,85,7878,"Shell/Python",Not Available,1454,4
wolfSSL,wolfssl,1259,9,357622,"Ruby/M4/XS/Perl/Makefile/Objective-C/Arduino/Tcl/Shell/C/Python/Assembly/C#/C++",Very High,0,0
cakephp,cakephp,11317,18,187244,"JavaScript/Shell/Makefile/CSS/PHP",Very High,24308,7
Arania,madeam,0,0,1990,"PHP",Inactive,0,0
mariano,syrup,5,95,50086,"PHP",Not Available,0,0
tmux,tmux,1197,5,42126,"Shell/C/M4/Awk/Roff/Makefile",High,0,0
bozimmerman,CoffeeWebServer,0,0,19574,"HTML/Java",Low,0,0
restlet,restlet-framework-java,492,156,251473,"JavaScript/Shell/Java/FreeMarker/NSIS/HTML/XSLT/CSS/RAML/Batchfile",Very Low,0,0
notepad-plus-plus,notepad-plus-plus,2088,58,338552,"Ruby/QMake/Shell/NSIS/HTML/Perl/Makefile/Visual Basic/Objective-C/Objective-C++/ASP/PostScript/C/Python/CMake/Lua/PLpgSQL/C++/PHP/Batchfile",Moderate,1905,4
tldr-pages,tldr,1757,17,180,"Python/JavaScript/Shell/TeX",High,0,0
synfig,synfig,324,16,2208080,"WebAssembly/DIGITAL Command Language/GLSL/M4/Objective-C/Pascal/Makefile/Nix/Tcl/PostScript/HTML/C/Python/CMake/Assembly/Smalltalk/Module Management System/Roff/C++/NSIS/AppleScript/SAS/Perl/Shell/Batchfile",Moderate,0,0
b2evolution,b2evolution,47,57,744220,"JavaScript/Shell/C/HTML/Pascal/CSS/PHP",High,0,0
movabletype,movabletype,59,182,769759,"Makefile/XS/HTML/XSLT/MTML/JavaScript/Shell/Perl 6/Perl/Prolog/Yacc/CSS/PHP/Smarty",Low,0,0
junit-team,junit,1367,186,33352,"JavaScript/Shell/Java/HTML/CSS/Batchfile",Low,0,0
rspec,rspec,24,1,70632,"Ruby",High,0,0
