owner,name,issues.total_count,issues.avg_closed_time,total_code_lines,languages,PAI,total_commits,bus_factor
jcupitt,nip2,53,24,175270,"Objective-C/Shell/Perl 6/Yacc/C/Lex/C++/Makefile/M4",Not Available,1196,1
apache,openoffice,1,0,357060,"Shell/JavaScript/Makefile/HTML/Assembly/AMPL/Awk/PHP/ASP/Prolog/AppleScript/C++/C/M4/LLVM/Objective-C/Objective-C++/XSLT/Java/NSIS/Mathematica/Yacc/PostScript/Roff/Scilab/Visual Basic/Perl/Pascal/Perl 6/Batchfile/Emacs Lisp/CSS/C#/Lex/Python",Not Available,1819,3
LibreOffice,core,10,33,9148103,"Shell/JavaScript/Makefile/HTML/Assembly/AMPL/Awk/ASP/Prolog/AppleScript/C++/C/M4/Objective-C/Objective-C++/Swift/XSLT/Java/PHP/Yacc/PostScript/Roff/Scilab/Visual Basic/Perl/Pascal/Perl 6/Batchfile/CSS/C#/Lex/Python",Very High,69374,100
vim,vim,1884,21,579172,"Shell/JavaScript/XS/Makefile/Smalltalk/Awk/Roff/SystemVerilog/Prolog/C++/C/M4/Objective-C/IDL/NSIS/PostScript/Perl/Vim script/NewLisp/DIGITAL Command Language/Batchfile/Emacs Lisp/Ruby/Module Management System/Python",Very Low,8029,1
SynEdit,SynEdit,66,109,327066,"Pascal/C++/PHP/HTML/SourcePawn",Not Available,182,4
freemint,m68k-atari-mint-gcc,2,2,6454392,"SAS/Lex/HTML/Assembly/Awk/Fortran/Batchfile/Smarty/Objective-C/OCaml/PHP/Scilab/Vim script/Roff/Pascal/DIGITAL Command Language/POV-Ray SDL/C/TeX/Module Management System/Makefile/Python/Shell/Pure Data/SourcePawn/GCC Machine Description/PAWN/Go/Prolog/C++/CMake/M4/Brainfuck/Objective-C++/Ada/Matlab/Yacc/Standard ML/Haskell/Perl/CSS/Perl 6/GDB/Emacs Lisp/C#/Logos",Very High,0,0
FauxFaux,PuTTYTray,141,103,109424,"Inno Setup/Shell/Perl/Batchfile/Makefile/C/M4/Python",Not Available,4700,2
openssh,openssh-portable,28,94,112402,"Shell/GLSL/BitBake/KRL/OpenEdge ABL/Roff/C/Perl/GAP/Awk/C++/Makefile/M4",High,8235,2
phpmyadmin,phpmyadmin,13605,2108,407677,"Shell/JavaScript/CSS/PHP/HTML/Python",Very High,66179,100
DSB,oTranCe,56,61,-415303,"CSS/JavaScript/PHP/HTML",Low,1271,1
