owner,name,issues.total_count,issues.avg_closed_time,total_code_lines,languages,PAI,total_commits,bus_factor
synfig,synfig,324,16,2208080,"CMake/WebAssembly/Roff/Smalltalk/Python/HTML/Assembly/Tcl/Batchfile/DIGITAL Command Language/NSIS/M4/Objective-C/C++/GLSL/AppleScript/Makefile/C/Pascal/Shell/Perl/PostScript/Module Management System/Nix/SAS",Moderate,4895,3
b2evolution,b2evolution,47,57,744220,"Pascal/JavaScript/PHP/HTML/CSS/Shell/C",High,0,0
movabletype,movabletype,59,182,769759,"MTML/XSLT/CSS/Perl 6/Shell/Makefile/XS/JavaScript/PHP/Prolog/Perl/Smarty/HTML/Yacc",Low,7224,5
junit-team,junit,1367,186,33352,"HTML/Shell/Java/CSS/JavaScript/Batchfile",Low,936,100
rspec,rspec,24,1,70632,"Ruby",High,193,2
phpspec,phpspec2,53,48,28786,"JavaScript/PHP/Ruby",Moderate,387,1
christianhujer,aceunit,3,9,32069,"Java/C++/Makefile/C",Very Low,146,1
pernicius,DevilTrac,0,0,19247,"PHP",Not Available,17,1
perl11,cperl,267,44,37921,"Terra/DTrace/Roff/Perl 6/Objective-C/XS/Prolog/Assembly/Turing/Batchfile/DIGITAL Command Language/Yacc/Shell/C++/CSS/TeX/Makefile/C/Emacs Lisp/JavaScript/PHP/Perl",Low,33427,100
boo-lang,boo,129,81,297167,"GAP/Lex/Java/Pascal/C++/PowerShell/Vim script/Emacs Lisp/Makefile/C#/Python/Shell/PHP/HTML/Boo/ANTLR/C/Visual Basic/Roff/Batchfile",Low,4046,1
MythTV,mythtv,130,141,2415283,"QMake/PAWN/XSLT/Objective-C/C++/Perl 6/CSS/Objective-C++/PowerShell/Shell/Makefile/C/Python/JavaScript/PHP/Prolog/Perl/HTML",High,21170,12
mpv-player,mpv,4871,42,139048,"Python/JavaScript/Prolog/HLSL/Objective-C/C++/Ruby/Shell/Lua/C",Very High,3181,18
LordZen,groink,0,0,7355,"Objective-C/Shell/Perl/Lua/C",Inactive,11,1
snortadmin,snort3,31,32,302387,"CMake/Shell/M4/Objective-C/C++/HTML/Ruby/Makefile/Lua/C",Moderate,1838,1
nant,nant,104,121,86285,"JavaScript/XSLT/HTML/CSS/Makefile/C#",Very Low,3375,1
sonatype,nexus,864,4,21541,"",Very Low,10232,6
ccnet,CruiseControl.NET,215,19,558111,"ActionScript/Groff/NSIS/XSLT/C++/CSS/PowerShell/Shell/Assembly/C/Java/Pascal/JavaScript/ASP/HTML/Visual Basic/C#/Batchfile",Inactive,3320,5
mirabilos,mksh,0,0,44958,"C++/Shell/Perl/Roff/Makefile/C",Moderate,3151,1
maandree,jash,0,0,1497,"Java/Shell",Inactive,46,1
videolabs,libdsm,96,28,8490,"C++/Shell/M4/Ruby/HTML/CSS/JavaScript/Makefile/C",Low,412,4
mikma,egssapi,0,0,2530,"Erlang/C",Inactive,0,0
greasemonkey,greasemonkey,1669,145,8030,"HTML/JavaScript/CSS/Shell/Makefile",Not Available,215,1
hibernate,hibernate-orm,2012,58,713174,"Java/GAP/HTML/Groovy/Shell",High,7200,10
BatooOrg,BatooJPA,201,47,86964,"Java/GAP/Shell",Very Low,462,1
