owner,name,issues.total_count,issues.avg_closed_time,total_code_lines,languages,PAI,total_commits,bus_factor
libarchive,libarchive,788,37,153048,"CMake/Shell/M4/C++/Objective-C/Roff/Makefile/C",Moderate,4605,2
ruby,rake,211,52,9386,"Shell/Ruby",Moderate,1421,3
premake,premake-core,874,32,236039,"CMake/Visual Basic/Assembly/Objective-C/C++/CSS/Makefile/C/Roff/Shell/Lua/Perl/HTML/Tcl/Batchfile",High,1534,3
curl,curl,2093,19,260026,"CMake/DIGITAL Command Language/Visual Basic/M4/C++/Emacs Lisp/Perl 6/Makefile/C/Awk/Python/Shell/Perl/Assembly/Roff/Batchfile",Very High,21318,3
chfoo,wpull,255,42,36054,"Python/JavaScript/Haxe/HTML/CSS/Shell/Makefile",Very Low,1857,1
pycurl,pycurl,453,32,14435,"Python/Shell/PHP/HTML/Makefile/C",Moderate,2479,2
Razor-qt,razor-qt,664,134,149658,"CMake/Groff/QMake/C++/CSS/Makefile/C/Python/Shell/PHP/Perl/HTML",Very Low,1926,5
ExpressoBrowser,ExpressoBrowser,0,0,34078,"C++/C#/C",Inactive,1,1
jiazhang0,grub-efi,0,0,70428,"Assembly/Python/Shell/Makefile/C",Inactive,181,1
chenall,grub4dos,117,22,77520,"Assembly/Shell/Makefile/C",Very Low,407,1
kexecboot,kexecboot,0,0,11452,"C++/Shell/M4/Makefile/C",Low,260,1
ubiety,xmpp,22,32,3983,"C#",Not Available,286,1
jitsi,jitsi,314,73,362816,"C++/Shell/Visual Basic/XSLT/Objective-C/Java/Roff/CSS/HTML/Makefile/C",Moderate,11001,4
0xd34df00d,leechcraft,349,7,680745,"Python/CMake/XSLT/Objective-C/Objective-C++/C++/QML/CSS/Shell/C/Roff/JavaScript/Haskell/PLSQL/HTML/Smarty",Not Available,30286,1
BetterCrypto,Applied-Crypto-Hardening,138,21,253320,"Shell/Lua/Perl/PostScript/HTML/Erlang/TeX/Makefile",Not Available,1115,5
pyca,pyopenssl,658,85,7878,"Python/Shell",Not Available,1454,4
wolfSSL,wolfssl,1262,10,357622,"M4/Objective-C/C++/Arduino/Makefile/C/Python/Shell/XS/Perl/Ruby/Assembly/Tcl/C#",Very High,4668,5
cakephp,cakephp,11317,18,187244,"JavaScript/CSS/PHP/Shell/Makefile",Very High,24308,7
Arania,madeam,0,0,1990,"PHP",Inactive,168,1
mariano,syrup,5,95,50086,"PHP",Not Available,49,1
tmux,tmux,1198,5,42126,"Awk/Shell/M4/Roff/Makefile/C",High,3780,1
bozimmerman,CoffeeWebServer,0,0,19574,"Java/HTML",Low,66,1
restlet,restlet-framework-java,492,156,251473,"HTML/Shell/NSIS/XSLT/Java/RAML/CSS/FreeMarker/JavaScript/Batchfile",Very Low,3731,2
notepad-plus-plus,notepad-plus-plus,2088,58,338552,"CMake/NSIS/Visual Basic/Ruby/Python/C++/Objective-C++/Makefile/C/QMake/Objective-C/Shell/ASP/Lua/Perl/PostScript/HTML/PHP/PLpgSQL/Batchfile",Moderate,1905,4
tldr-pages,tldr,1757,17,180,"Python/Shell/TeX/JavaScript",High,1548,100
